sample_name	alkylated_pahs	altitude	altitude_m	ammonium	ammonium_umol_per_l	anonymized_name	benzene	collection_timestamp	country	cycloalkanes	depth	depth_m	description	diss_inorg_nitrogen	diss_nitrate	diss_phosphate	distance	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	ethylbenzene	geo_loc_name	host_subject_id	isopropylbenzene	latitude	latitude_deg	longitude	longitude_deg	nitrate_umol_per_l	pah_sum	phosphate_umol_per_l	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title	toluene	tot_carb	tot_nitro	tot_sulfur	tph_sum	zylenes_total
1197.SE.20100927.GY.NF013.BC.062	926.69	0	0.0	494	494	SE.20100927.GY.NF013.BC.062	0.95	2010-09-27	GAZ:Gulf of Mexico	3.7	1567	1567.0	sediment	571	77	148	1.379752027	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.85	Gulf of Mexico	SE.20100927.GY.NF013.BC.062	1.85	28.738786	28.738786	-88.335619	-88.335619	77	117.63	148	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.85	2.453	0.183	0.495	1058.22	3.7
1197.SE.20100927.GY.NF013.BC.062.a	926.69	0	0.0	494	494	SE.20100927.GY.NF013.BC.062	0.95	2010-09-27	GAZ:Gulf of Mexico	3.7	1567	1567.0	sediment	571	77	148	1.379752027	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.85	Gulf of Mexico	SE.20100927.GY.NF013.BC.062	1.85	28.738786	28.738786	-88.335619	-88.335619	77	117.63	148	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.85	2.453	0.183	0.495	1058.22	3.7
1197.SE.20100927.GY.NF014.BC.066	362.7	0	0.0	476	476	SE.20100927.GY.NF014.BC.066	1.05	2010-09-27	GAZ:Gulf of Mexico	4.1	1579	1579.0	sediment	635	159	108	104.6942377	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.05	Gulf of Mexico	SE.20100927.GY.NF014.BC.066	2.05	28.719603	28.719603	-88.3447	-88.3447	159	99.54	108	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.05	2.58	0.175	0.314	477.64	4.1
1197.SE.20100927.GY.NF014.BC.066.a	362.7	0	0.0	476	476	SE.20100927.GY.NF014.BC.066	1.05	2010-09-27	GAZ:Gulf of Mexico	4.1	1579	1579.0	sediment	635	159	108	104.6942377	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.05	Gulf of Mexico	SE.20100927.GY.NF014.BC.066	2.05	28.719603	28.719603	-88.3447	-88.3447	159	99.54	108	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.05	2.58	0.175	0.314	477.64	4.1
1197.SE.20100928.GY.LBNL05.BC.101	856.57	0	0.0	2105	2105	SE.20100928.GY.LBNL05.BC.101	0.8	2010-09-28	GAZ:Gulf of Mexico	3.1	1350	1350.0	sediment	3757	1653	97	10.06602267	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.55	Gulf of Mexico	SE.20100928.GY.LBNL05.BC.101	1.55	28.672508	28.672508	-88.435906	-88.435906	1653	155.46	97	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.55	3.175	0.157	0.19	1023.68	3.1
1197.SE.20100928.GY.LBNL05.BC.101.a	856.57	0	0.0	2105	2105	SE.20100928.GY.LBNL05.BC.101	0.8	2010-09-28	GAZ:Gulf of Mexico	3.1	1350	1350.0	sediment	3757	1653	97	10.06602267	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.55	Gulf of Mexico	SE.20100928.GY.LBNL05.BC.101	1.55	28.672508	28.672508	-88.435906	-88.435906	1653	155.46	97	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.55	3.175	0.157	0.19	1023.68	3.1
1197.SE.20100928.GY.NF.009.BC.097	1080.12	0	0.0	1020	1020	SE.20100928.GY.NF.009.BC.097	1.05	2010-09-28	GAZ:Gulf of Mexico	4.1	1582	1582.0	sediment	1152	131	205	3.101983369	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.05	Gulf of Mexico	SE.20100928.GY.NF.009.BC.097	2.05	28.713306	28.713306	-88.401428	-88.401428	131	208.37	205	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.05	3.163	0.213	0.589	1303.89	4.1
1197.SE.20100928.GY.NF.009.BC.097.a	1080.12	0	0.0	1020	1020	SE.20100928.GY.NF.009.BC.097	1.05	2010-09-28	GAZ:Gulf of Mexico	4.1	1582	1582.0	sediment	1152	131	205	3.101983369	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	2.05	Gulf of Mexico	SE.20100928.GY.NF.009.BC.097	2.05	28.713306	28.713306	-88.401428	-88.401428	131	208.37	205	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	2.05	3.163	0.213	0.589	1303.89	4.1
1197.SE.20100928.GY.NF008.BC.093	203.33	0	0.0	2301	2301	SE.20100928.GY.NF008.BC.093	0.9	2010-09-28	GAZ:Gulf of Mexico	3.7	1585	1585.0	sediment	2456	155	148	3.053141695	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.85	Gulf of Mexico	SE.20100928.GY.NF008.BC.093	1.85	28.720005	28.720005	-88.38844	-88.38844	155	79.08	148	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.85	3.844	0.178	0.24	296.26	3.7
1197.SE.20100928.GY.NF008.BC.093.a	203.33	0	0.0	2301	2301	SE.20100928.GY.NF008.BC.093	0.9	2010-09-28	GAZ:Gulf of Mexico	3.7	1585	1585.0	sediment	2456	155	148	3.053141695	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.85	Gulf of Mexico	SE.20100928.GY.NF008.BC.093	1.85	28.720005	28.720005	-88.38844	-88.38844	155	79.08	148	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.85	3.844	0.178	0.24	296.26	3.7
1197.SE.20101001.GY.ALTNF001.BC.139	20798.07	0	0.0	2501	2501	SE.20101001.GY.ALTNF001.BC.139	0.9	2010-10-01	GAZ:Gulf of Mexico	521.75	1543	1543.0	sediment	3705	1204	120	0.658584989	TRUE	0	0	True	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	marine sediment	contaminated sediment	sediment	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	1.75	Gulf of Mexico	SE.20101001.GY.ALTNF001.BC.139	1.75	28.704972	28.704972	-88.370508	-88.370508	1204	2295.875	120	LBNL	FALSE	TRUE	Free-living	Saline	Sediment (saline)	1197	marine sediment metagenome	412755	petroleum contaminated sediment	marine sediment metagenome	Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill	1.75	3.535	0.145	0.589	23625.345	3.5
